Unnamed: 0,_id,name,female,male,wheelchair,operator,baby_facil,lat,lon
1,3,Federal Park,False,False,True,"Annandale, NSW",False,-33.87440459,151.1757904
2,5,Sydney Park,False,False,True,"Alexandria, NSW",False,-33.90891728,151.18161283
3,6,Fitzroy Gardens,False,False,True,"Elizabeth Bay, NSW",False,-33.87309156,151.22557312
4,7,Beare Park,False,False,True,"Elizabeth Bay, NSW",False,-33.87060099,151.2294246
5,8,Wallamulla Park,False,False,True,"Woolloomooloo, NSW",False,-33.87293135,151.2193028
6,9,Turruwull Park,False,False,True,"Rosebery, NSW",False,-33.91868645,151.20397598
7,11,Rushcutters Bay Park - Reg Bartley Oval,False,False,True,"Rushcutters Bay, NSW",False,-33.87400101,151.2287526
8,12,Watson Road,False,False,True,"Millers Point, NSW",False,-33.85865203,151.20451849
9,14,Hyde Park - North,False,False,True,"Sydney, NSW",False,-33.87312618,151.21015377
10,15,Elizabeth Street,False,False,True,"Sydney, NSW",False,-33.87071782,151.2105368
11,16,Hyde Park - North 1,False,False,True,"Sydney, NSW",False,-33.87006882,151.211692
12,17,Hyde Park - North 2,False,False,True,"Sydney, NSW",False,-33.87006933,151.21190689
13,18,Hyde Park - North 3,False,False,True,"Sydney, NSW",False,-33.87214565,151.21263692
14,19,Hyde Park South,False,False,True,"Sydney, NSW",False,-33.87664028,151.20996607
15,20,Belmore Park,False,False,True,"Haymarket, NSW",False,-33.88037921,151.20806938
16,21,Wynyard Park,False,False,True,"Sydney, NSW",False,-33.86640396,151.20583321
17,22,Lang Park,False,False,True,"Sydney, NSW",False,-33.86348713,151.2055046
18,23,Mrs Macquaries Road 1,False,False,True,"Sydney, NSW",False,-33.862412,151.2209244
19,24,Mare & Foal Statue,False,False,True,"Sydney, NSW",False,-33.86420009,151.2187871
20,25,Royal Botanic Gardens Visitor Centre,False,False,True,"Sydney, NSW",False,-33.86538855,151.2166804
21,27,Art Gallery of NSW,False,False,True,"Sydney, NSW",False,-33.86942208,151.2141595
22,28,Erskineville Train Station,False,False,True,"Erskineville, NSW",False,-33.90022948,151.1855517
23,29,Martin Place Train Station,False,False,True,"Sydney, NSW",False,-33.86799915,151.2120208
24,30,Museum Train Station,False,False,True,"Sydney, NSW",False,-33.87607919,151.209841
25,31,Redfern Train Station,False,False,True,"Redfern, NSW",False,-33.89193933,151.1987014
26,32,St James Train Station,False,False,True,"Sydney, NSW",False,-33.87019916,151.2119709
27,34,Town Hall Train Station,False,False,True,"Sydney, NSW",False,-33.87330921,151.206881
28,35,Wynyard Train Station,False,False,True,"Sydney, NSW",False,-33.86584921,151.2056109
29,43,Centennial Park Dining,False,False,True,"Centennial Park, NSW",False,-33.89461234,151.23331982
30,44,Centennial Park - Dickens Drive,False,False,True,"Centennial Park, NSW",False,-33.89876723,151.23473872
31,45,Federation Valley,False,False,True,"Centennial Park, NSW",False,-33.89424387,151.23656375
32,46,Mackay Sportsfield ,False,False,True,"Centennial Park, NSW",False,-33.89908835,151.22918463
33,47,Mission Fields ,False,False,True,"Centennial Park, NSW",False,-33.9022063,151.23249171
34,48,Learners Cycleway ,False,False,True,"Centennial Park, NSW",False,-33.90322626,151.22936381
35,51,52 Martin Place,False,False,True,"Sydney, NSW",False,-33.86789335,151.21034105
36,52,Metcentre,False,False,True,"Sydney, NSW",False,-33.86464175,151.20669541
37,53,Pavilion Plaza,False,False,True,"Sydney, NSW",False,-33.87511,151.206649
38,54,Surry Hills Shopping Village,False,False,True,"Redfern, NSW",False,-33.89218583,151.21227075
39,55,Sydney Fish Market,False,False,True,"Pyrmont, NSW",False,-33.8703303,151.19048418
40,56,The Broadway Shopping Centre - Ground floor,False,False,True,"Glebe, NSW",False,-33.88416801,151.1939935
41,57,The Wintergarden,False,False,True,"Sydney, NSW",False,-33.86449059,151.21040359
42,58,Town Hall Square,False,False,True,"Sydney, NSW",False,-33.87400691,151.20552388
43,59,Pirrama Park (formerly Pyrmont Point),False,False,True,"Pyrmont, NSW",False,-33.86330007,151.1930495
44,60,Market City - Ground floor Paddys Market,False,False,True,"Haymarket, NSW",False,-33.87982466,151.20365436
45,61,Market City - Level 1,False,False,True,"Haymarket, NSW",False,-33.87987603,151.203717
