name,STOP_ID,type,lat,lon
Macaulay Station/Macaulay Rd (North Melbourne),7580,Bus,-37.7951,144.9365
Childers St/Kensington Rd (Kensington),7448,Bus,-37.7983,144.9206
28-Punt Rd/High St (Prahran),13401,Tram,-37.8506,144.984
17-Ievers St/Royal Pde (Parkville),16730,Tram,-37.7819,144.9596
15-Leonard St/Royal Pde (Parkville),16732,Tram,-37.7879,144.9589
14-Macarthur Rd/Royal Pde (Parkville),16733,Tram,-37.79,144.9586
13-Gatehouse St/Royal Pde (Parkville),16734,Tram,-37.7927,144.9583
15-Leonard St/Royal Pde (Parkville),17331,Tram,-37.7877,144.9591
13-Gatehouse St/Royal Pde (Parkville),17333,Tram,-37.7924,144.9585
8-Peel St/Victoria St (Melbourne City),17857,Tram,-37.8059,144.9562
9-William St/Victoria St (Melbourne City),17858,Tram,-37.8057,144.9539
10-Chetwynd St/Victoria St (Melbourne City),17859,Tram,-37.8055,144.9524
10-Chetwynd St/Victoria St (Melbourne City),17862,Tram,-37.8054,144.952
9-Howard St/Victoria St (Melbourne City),17863,Tram,-37.8056,144.9535
8-Peel St/Victoria St (Melbourne City),17864,Tram,-37.8058,144.9557
3-Bourke Street Mall/Elizabeth St (Melbourne City),17875,Tram,-37.814,144.9631
11-Melbourne Museum/Nicholson St (Fitzroy),17894,Tram,-37.8057,144.9735
6-Melbourne Town Hall/Collins St (Melbourne City),17911,Tram,-37.8155,144.9663
20-Melrose St/Flemington Rd (North Melbourne),17959,Tram,-37.7904,144.9435
19-Abbotsford St Interchange/Abbotsford St (North Melbourne),17961,Tram,-37.7941,144.9471
16-Haines St/Abbotsford St (North Melbourne),18059,Tram,-37.7983,144.9463
14-Queensberry St/Abbotsford St (North Melbourne),18061,Tram,-37.8024,144.9456
26-Melbourne Zoo/Royal Park (Parkville),18066,Tram,-37.7826,144.9492
27-Royal Park Station/Royal Park (Parkville),18067,Tram,-37.7808,144.9514
4-Elizabeth St/Flinders St (Melbourne City),18176,Tram,-37.8184,144.9643
120-Lonsdale St/Spencer St (Melbourne City),18192,Tram,-37.815,144.9523
5-Bourke St/William St (Melbourne City),18199,Tram,-37.8159,144.9582
10-Victoria St/Peel St (West Melbourne),18204,Tram,-37.8057,144.9561
4-Collins St/William St (Melbourne City),18211,Tram,-37.8175,144.9591
20-Kings Way/Sturt St (Southbank),18224,Tram,-37.8301,144.9653
18-Grant St/Sturt St (Southbank),18226,Tram,-37.8258,144.9666
17-Arts Precinct/Sturt St (Southbank),18227,Tram,-37.8238,144.9672
17-Arts Precinct/Sturt St (Southbank),18229,Tram,-37.8241,144.9672
32-Sandown Rd/Epsom Rd (Ascot Vale),18524,Tram,-37.7827,144.9167
31-Racing Victoria/400 Epsom Rd (Flemington),18525,Tram,-37.7844,144.9182
29-Flemington Racecourse/Racecourse Rd (Flemington),18527,Tram,-37.7874,144.9219
24-Collett St/Racecourse Rd (Kensington),18531,Tram,-37.7885,144.9335
19-Abbotsford St Interchange/Abbotsford St (North Melbourne),18536,Tram,-37.7937,144.9472
15-Arden St/Abbotsford St (North Melbourne),18540,Tram,-37.8007,144.9458
26-Melbourne Zoo/Royal Park (Parkville),18546,Tram,-37.7824,144.9493
27-Royal Park Station/Royal Park (Parkville),18547,Tram,-37.7809,144.9509
28-Park St/Royal Park (Parkville),18548,Tram,-37.7769,144.9495
127-South Yarra Railway Station/Toorak Rd (South Yarra),18703,Tram,-37.8391,144.9922
113-Lytton St/Lygon St (Carlton),18790,Tram,-37.7941,144.968
115-Melbourne Cemetery/Lygon St (Carlton North),18792,Tram,-37.7896,144.9688
116-Fenwick St/Lygon St (Carlton North),18793,Tram,-37.7874,144.9692
27-Punt Rd/Commercial Rd (South Yarra),18918,Tram,-37.8456,144.9849
26-Alfred Hospital/Commercial Rd (Prahran),19133,Tram,-37.8454,144.9823
