name,formatted_address,lat,lon,wheelchair,categories
Stop 127: South Yarra Station,"Stop 127: South Yarra Station, Toorak Road, South Yarra VIC 3141, Australia",-37.8390754,144.9921843,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 127: South Yarra Station,"Stop 127: South Yarra Station, Toorak Road, South Yarra VIC 3141, Australia",-37.8390304,144.9920683,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 128: Albert Park,"Stop 128: Albert Park, Bridport Street, South Melbourne VIC 3205, Australia",-37.8400456,144.9585824,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 128: Albert Park,"Stop 128: Albert Park, Ferrars Street, South Melbourne VIC 3205, Australia",-37.8404168,144.9587917,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 127: North Port,"Stop 127: North Port, Sandridge Rail Trail, Port Melbourne VIC 3207, Australia",-37.8332123,144.9435488,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 127: North Port,"Stop 127: North Port, Sandridge Rail Trail, Port Melbourne VIC 3207, Australia",-37.8335127,144.9431223,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 124A: Casino/MCEC,"Stop 124A: Casino/MCEC, Clarendon Street, Southbank VIC 3006, Australia",-37.8233457,144.9561895,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 124A: Casino/MCEC,"Stop 124A: Casino/MCEC, Clarendon Street, South Wharf VIC 3006, Australia",-37.8233745,144.9560854,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 1: Melbourne University,"Stop 1: Melbourne University, Swanston Street, Carlton VIC 3053, Australia",-37.7992479,144.9642336,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 1: Melbourne University,"Stop 1: Melbourne University, Swanston Street, Parkville VIC 3052, Australia",-37.7987765,144.9642063,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 3: Bourke Street Mall,"Stop 3: Bourke Street Mall, Elizabeth Street, Melbourne VIC 3000, Australia",-37.813984,144.9630639,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 23: Blyth Street,"Stop 23: Blyth Street, Nicholson Street, Brunswick East VIC 3057, Australia",-37.7671755,144.9802957,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 11: Melbourne Museum,"Stop 11: Melbourne Museum, Nicholson Street, Carlton VIC 3053, Australia",-37.8056752,144.9735371,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
